Manufacturer,Model,Category,Fuel type,Gear box type,Drive wheels,Doors,Wheel,Color,Leather interior,Manufacturer_cleaned,Model_cleaned,Category_cleaned,Fuel type_cleaned,Gear box type_cleaned,Drive wheels_cleaned,Doors_cleaned,Wheel_cleaned,Color_cleaned,Leather interior_cleaned,Manufacturer_scaled,Model_scaled,Category_scaled,Fuel type_scaled,Gear box type_scaled,Drive wheels_scaled,Doors_scaled,Wheel_scaled,Color_scaled,Leather interior_scaled,Levy,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Levy_cleaned,Prod. year_cleaned,Engine volume_cleaned,isTurbo,Mileage_cleaned,Cylinders_cleaned,Airbags_cleaned,Levy_scaled,Prod. year_scaled,Engine volume_scaled,Mileage_scaled,Cylinders_scaled,Airbags_scaled,Price
CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Grey,Yes,CHEVROLET,CRUZE,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,YES,15631.2040472,11885.9585091,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,18478.9556784,586,2012,1.8,80497 km,4.0000000,4,586,2012,1.8000000,0,80497,4.0000000,4,0.0500256,0.9012346,0.0900000,0.0000375,0.2000000,0.2500000,16041
MAZDA,MPV,Minivan,LPG,Automatic,Front,04-May,Right-hand drive,Silver,No,MAZDA,MPV,MINIVAN,LPG,AUTOMATIC,FRONT,4,RIGHT-HAND DRIVE,SILVER,NO,10493.0766457,16778.2727043,21139.4158882,13617.4413579,16011.0486705,20599.3767854,17089.9312887,8945.6475385,15333.5653059,23533.4518021,-,2004,2.3,150783 km,4.0000000,2,0,2004,2.3000000,0,150783,4.0000000,2,0.0000000,0.8024691,0.1150000,0.0000702,0.2000000,0.1250000,7840
HYUNDAI,Sonata,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Red,Yes,HYUNDAI,SONATA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,RED,YES,21956.5739967,13621.9359885,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,13860.8704964,18478.9556784,753,2012,2.4,289920 km,4.0000000,12,753,2012,2.4000000,0,289920,4.0000000,12,0.0642821,0.9012346,0.1200000,0.0001350,0.2000000,0.7500000,862
TOYOTA,Aqua,Hatchback,Hybrid,Variator,Front,04-May,Right-hand drive,Silver,No,TOYOTA,AQUA,HATCHBACK,HYBRID,VARIATOR,FRONT,4,RIGHT-HAND DRIVE,SILVER,NO,14378.2583811,16508.7922786,11346.8436235,10903.2491977,15129.3860444,20599.3767854,17089.9312887,8945.6475385,15333.5653059,23533.4518021,-,2013,1.3,240000 km,4.0000000,4,0,2013,1.3000000,0,240000,4.0000000,4,0.0000000,0.9135802,0.0650000,0.0001118,0.2000000,0.2500000,35
TOYOTA,Vitz,Hatchback,Petrol,Variator,4x4,04-May,Right-hand drive,Blue,No,TOYOTA,VITZ,HATCHBACK,PETROL,VARIATOR,4X4,4,RIGHT-HAND DRIVE,BLUE,NO,14378.2583811,11531.2337586,11346.8436235,17162.3155529,15129.3860444,18911.5534039,17089.9312887,8945.6475385,51432.4322560,23533.4518021,1236,2011,1.3,203000 km,4.0000000,2,1236,2011,1.3000000,0,203000,4.0000000,2,0.1055148,0.8888889,0.0650000,0.0000945,0.2000000,0.1250000,8000
OPEL,Zafira,Minivan,CNG,Manual,Front,04-May,Left wheel,White,No,OPEL,ZAFIRA,MINIVAN,CNG,MANUAL,FRONT,4,LEFT WHEEL,WHITE,NO,135697.0088246,13055.3167052,21139.4158882,9029.0145166,39404.6623373,20599.3767854,17089.9312887,20737.4846683,18498.8401849,23533.4518021,-,2006,1.6,350000 km,4.0000000,6,0,2006,1.6000000,0,350000,4.0000000,6,0.0000000,0.8271605,0.0800000,0.0001630,0.2000000,0.3750000,10300
MINI,Cooper S Cabrio,Hatchback,Petrol,Automatic,Front,04-May,Left wheel,Black,Yes,MINI,COOPER S CABRIO,HATCHBACK,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,18256.8233674,15451.4475277,11346.8436235,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,891,2016,2,59408 km,4.0000000,12,891,2016,2.0000000,0,59408,4.0000000,12,0.0760628,0.9506173,0.1000000,0.0000277,0.2000000,0.7500000,314
HONDA,Civic,Sedan,Hybrid,Automatic,Front,04-May,Left wheel,Blue,Yes,HONDA,CIVIC,SEDAN,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,BLUE,YES,14390.6988168,28015.6520948,14159.5858168,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,51432.4322560,18478.9556784,308,2015,1.5,49272 km,4.0000000,0,308,2015,1.5000000,0,49272,4.0000000,0,0.0262933,0.9382716,0.0750000,0.0000229,0.2000000,0.0000000,4861
KIA,Sportage,Jeep,Diesel,Automatic,Front,04-May,Left wheel,Grey,Yes,KIA,SPORTAGE,JEEP,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,YES,14959.5566306,13393.6166989,23520.2505712,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,18478.9556784,706,2011,2,47232 km,4.0000000,4,706,2011,2.0000000,0,47232,4.0000000,4,0.0602698,0.8888889,0.1000000,0.0000220,0.2000000,0.2500000,17405
MERCEDES-BENZ,E 230,Sedan,Petrol,Automatic,Rear,04-May,Left wheel,Silver,Yes,MERCEDES-BENZ,E 230,SEDAN,PETROL,AUTOMATIC,REAR,4,LEFT WHEEL,SILVER,YES,18318.5683697,17366.4014884,14159.5858168,17162.3155529,16011.0486705,17448.8573494,17089.9312887,20737.4846683,15333.5653059,18478.9556784,-,1997,2.3,105000 km,4.0000000,4,0,1997,2.3000000,0,105000,4.0000000,4,0.0000000,0.7160494,0.1150000,0.0000489,0.2000000,0.2500000,3763
HYUNDAI,Accent,Sedan,Diesel,Automatic,Front,04-May,Left wheel,White,Yes,HYUNDAI,ACCENT,SEDAN,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,21956.5739967,12761.7028746,14159.5858168,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,730,2016,1.6,43840 km,4.0000000,4,730,2016,1.6000000,0,43840,4.0000000,4,0.0623186,0.9506173,0.0800000,0.0000204,0.2000000,0.2500000,16891
HYUNDAI,H1,Minivan,Diesel,Automatic,Front,04-May,Left wheel,Silver,Yes,HYUNDAI,H1,MINIVAN,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,21956.5739967,29101.7545057,21139.4158882,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,777,2014,2.5,140000 km,4.0000000,4,777,2014,2.5000000,0,140000,4.0000000,4,0.0663309,0.9259259,0.1250000,0.0000652,0.2000000,0.2500000,32910
KIA,Optima,Sedan,Hybrid,Automatic,Front,04-May,Left wheel,Black,Yes,KIA,OPTIMA,SEDAN,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,14959.5566306,15769.8156187,14159.5858168,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,753,2012,2.4,100000 km,4.0000000,8,753,2012,2.4000000,0,100000,4.0000000,8,0.0642821,0.9012346,0.1200000,0.0000466,0.2000000,0.5000000,20071
FORD,Transit S,Microbus,Diesel,Manual,Rear,04-May,Left wheel,White,No,FORD,TRANSIT S,MICROBUS,DIESEL,MANUAL,REAR,4,LEFT WHEEL,WHITE,NO,16689.1262008,19851.7817860,19041.3038388,36298.9310787,39404.6623373,17448.8573494,17089.9312887,20737.4846683,18498.8401849,23533.4518021,-,2004,2,239000 km,4.0000000,4,0,2004,2.0000000,0,239000,4.0000000,4,0.0000000,0.8024691,0.1000000,0.0001113,0.2000000,0.2500000,21169
SUBARU,Legacy,Universal,CNG,Automatic,4x4,04-May,Right-hand drive,Silver,No,SUBARU,LEGACY,UNIVERSAL,CNG,AUTOMATIC,4X4,4,RIGHT-HAND DRIVE,SILVER,NO,10017.6110059,14390.7056124,22215.4061199,9029.0145166,16011.0486705,18911.5534039,17089.9312887,8945.6475385,15333.5653059,23533.4518021,-,2002,2,188645 km,4.0000000,2,0,2002,2.0000000,0,188645,4.0000000,2,0.0000000,0.7777778,0.1000000,0.0000878,0.2000000,0.1250000,6899
HYUNDAI,Sonata,Sedan,Petrol,Tiptronic,Front,04-May,Left wheel,Black,No,HYUNDAI,SONATA,SEDAN,PETROL,TIPTRONIC,FRONT,4,LEFT WHEEL,BLACK,NO,21956.5739967,13621.9359885,14159.5858168,17162.3155529,25387.1017835,20599.3767854,17089.9312887,20737.4846683,18086.8626653,23533.4518021,1051,2016,2.4,51000 km,4.0000000,16,1051,2016,2.4000000,0,51000,4.0000000,16,0.0897217,0.9506173,0.1200000,0.0000237,0.2000000,1.0000000,25716
LEXUS,IS 350,Sedan,Petrol,Automatic,4x4,04-May,Left wheel,Silver,Yes,LEXUS,IS 350,SEDAN,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,YES,19295.3661710,16806.3441329,14159.5858168,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,1172,2011,3.5,259066 km,6.0000000,12,1172,2011,3.5000000,0,259066,6.0000000,12,0.1000512,0.8888889,0.1750000,0.0001206,0.3333333,0.7500000,8154
CHEVROLET,Cruze,Sedan,Petrol,Tiptronic,Front,04-May,Left wheel,White,Yes,CHEVROLET,CRUZE,SEDAN,PETROL,TIPTRONIC,FRONT,4,LEFT WHEEL,WHITE,YES,15631.2040472,11885.9585091,14159.5858168,17162.3155529,25387.1017835,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,562,2015,1.4 Turbo,144000 km,4.0000000,12,562,2015,1.4000000,1,144000,4.0000000,12,0.0479768,0.9382716,0.0700000,0.0000671,0.2000000,0.7500000,16621
HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Silver,Yes,HYUNDAI,ELANTRA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,21956.5739967,15977.3790731,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,790,2009,1.6,143091 km,4.0000000,4,790,2009,1.6000000,0,143091,4.0000000,4,0.0674407,0.8641975,0.0800000,0.0000666,0.2000000,0.2500000,13771
FORD,C-MAX HYBRID,Hatchback,Hybrid,Automatic,Front,04-May,Left wheel,Grey,No,FORD,C-MAX HYBRID,HATCHBACK,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,NO,16689.1262008,19851.7817860,11346.8436235,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,23533.4518021,-,2013,2,125000 km,4.0000000,4,0,2013,2.0000000,0,125000,4.0000000,4,0.0000000,0.9135802,0.1000000,0.0000582,0.2000000,0.2500000,21639
FORD,Fusion,Sedan,Hybrid,Automatic,Front,04-May,Left wheel,Black,Yes,FORD,FUSION,SEDAN,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,16689.1262008,10644.3226610,14159.5858168,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,640,2013,2,218400 km,4.0000000,6,640,2013,2.0000000,0,218400,4.0000000,6,0.0546355,0.9135802,0.1000000,0.0001017,0.2000000,0.3750000,17562
LEXUS,RX 450,Jeep,Hybrid,Automatic,Front,04-May,Left wheel,White,Yes,LEXUS,RX 450,JEEP,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,19295.3661710,9980.3011905,23520.2505712,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,1055,2013,3.5,138038 km,6.0000000,12,1055,2013,3.5000000,0,138038,6.0000000,12,0.0900632,0.9135802,0.1750000,0.0000643,0.3333333,0.7500000,1019
LEXUS,ES 300,Sedan,Hybrid,Automatic,Front,04-May,Left wheel,Black,Yes,LEXUS,ES 300,SEDAN,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,19295.3661710,20978.3062032,14159.5858168,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,456,2015,2.5,98032 km,4.0000000,12,456,2015,2.5000000,0,98032,4.0000000,12,0.0389278,0.9382716,0.1250000,0.0000456,0.2000000,0.7500000,10192
MERCEDES-BENZ,E 350,Coupe,Diesel,Automatic,Rear,02-Mar,Left wheel,Silver,Yes,MERCEDES-BENZ,E 350,COUPE,DIESEL,AUTOMATIC,REAR,2,LEFT WHEEL,SILVER,YES,18318.5683697,11656.3850257,21840.5164177,36298.9310787,16011.0486705,17448.8573494,85611.0594215,20737.4846683,15333.5653059,18478.9556784,1172,2011,3.5,170429 km,6.0000000,12,1172,2011,3.5000000,0,170429,6.0000000,12,0.1000512,0.8888889,0.1750000,0.0000794,0.3333333,0.7500000,15994
NISSAN,Juke,Jeep,Petrol,Automatic,Front,04-May,Left wheel,White,Yes,NISSAN,JUKE,JEEP,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,10207.3300496,12268.5433848,23520.2505712,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,530,2013,1.6,166013 km,4.0000000,0,530,2013,1.6000000,0,166013,4.0000000,0,0.0452450,0.9135802,0.0800000,0.0000773,0.2000000,0.0000000,2901
CHEVROLET,Traverse,Jeep,Petrol,Automatic,Front,04-May,Left wheel,Silver,Yes,CHEVROLET,TRAVERSE,JEEP,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,15631.2040472,17444.8181550,23520.2505712,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,1203,2011,3.6,248954 km,6.0000000,12,1203,2011,3.6000000,0,248954,6.0000000,12,0.1026976,0.8888889,0.1800000,0.0001159,0.3333333,0.7500000,549
CHEVROLET,Cruze,Sedan,Petrol,Tiptronic,Front,04-May,Left wheel,White,No,CHEVROLET,CRUZE,SEDAN,PETROL,TIPTRONIC,FRONT,4,LEFT WHEEL,WHITE,NO,15631.2040472,11885.9585091,14159.5858168,17162.3155529,25387.1017835,20599.3767854,17089.9312887,20737.4846683,18498.8401849,23533.4518021,562,2015,1.4,100000 km,4.0000000,8,562,2015,1.4000000,0,100000,4.0000000,8,0.0479768,0.9382716,0.0700000,0.0000466,0.2000000,0.5000000,17562
VOLKSWAGEN,Passat,Sedan,Petrol,Tiptronic,Front,04-May,Left wheel,Silver,No,VOLKSWAGEN,PASSAT,SEDAN,PETROL,TIPTRONIC,FRONT,4,LEFT WHEEL,SILVER,NO,11764.1629492,14387.1422878,14159.5858168,17162.3155529,25387.1017835,20599.3767854,17089.9312887,20737.4846683,15333.5653059,23533.4518021,781,2012,2.5,188485 km,4.0000000,12,781,2012,2.5000000,0,188485,4.0000000,12,0.0666724,0.9012346,0.1250000,0.0000878,0.2000000,0.7500000,8467
TOYOTA,Prius,Hatchback,Hybrid,Automatic,Front,04-May,Left wheel,White,No,TOYOTA,PRIUS,HATCHBACK,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,NO,14378.2583811,11460.6154719,11346.8436235,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,23533.4518021,-,2006,1.7,27500 km,4.0000000,6,0,2006,1.7000000,0,27500,4.0000000,6,0.0000000,0.8271605,0.0850000,0.0000128,0.2000000,0.3750000,10036
MERCEDES-BENZ,E 350,Sedan,LPG,Tiptronic,4x4,04-May,Left wheel,Grey,Yes,MERCEDES-BENZ,E 350,SEDAN,LPG,TIPTRONIC,4X4,4,LEFT WHEEL,GREY,YES,18318.5683697,11656.3850257,14159.5858168,13617.4413579,25387.1017835,18911.5534039,17089.9312887,20737.4846683,19423.6326880,18478.9556784,-,2005,3.5 Turbo,26600 km,6.0000000,10,0,2005,3.5000000,1,26600,6.0000000,10,0.0000000,0.8148148,0.1750000,0.0000124,0.3333333,0.6250000,14113
MERCEDES-BENZ,ML 500,Jeep,Petrol,Tiptronic,4x4,04-May,Left wheel,Silver,Yes,MERCEDES-BENZ,ML 500,JEEP,PETROL,TIPTRONIC,4X4,4,LEFT WHEEL,SILVER,YES,18318.5683697,18889.2936816,23520.2505712,17162.3155529,25387.1017835,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,-,2006,5,216000 km,8.0000000,12,0,2006,5.0000000,0,216000,8.0000000,12,0.0000000,0.8271605,0.2500000,0.0001006,0.4666667,0.7500000,24462
LEXUS,HS 250h,Sedan,Hybrid,Tiptronic,Front,04-May,Left wheel,Black,Yes,LEXUS,HS 250H,SEDAN,HYBRID,TIPTRONIC,FRONT,4,LEFT WHEEL,BLACK,YES,19295.3661710,14662.8128153,14159.5858168,10903.2491977,25387.1017835,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,986,2010,2.4,156000 km,4.0000000,12,986,2010,2.4000000,0,156000,4.0000000,12,0.0841728,0.8765432,0.1200000,0.0000726,0.2000000,0.7500000,11760
CHEVROLET,Captiva,Jeep,Diesel,Automatic,Front,04-May,Left wheel,Grey,Yes,CHEVROLET,CAPTIVA,JEEP,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,YES,15631.2040472,18327.8893718,23520.2505712,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,18478.9556784,769,2011,2.2,70479 km,4.0000000,4,769,2011,2.2000000,0,70479,4.0000000,4,0.0656479,0.8888889,0.1100000,0.0000328,0.2000000,0.2500000,18189
CHEVROLET,Captiva,Jeep,Diesel,Automatic,Front,04-May,Left wheel,Black,Yes,CHEVROLET,CAPTIVA,JEEP,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,15631.2040472,18327.8893718,23520.2505712,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,765,2015,2,101537 km,4.0000000,4,765,2015,2.0000000,0,101537,4.0000000,4,0.0653065,0.9382716,0.1000000,0.0000473,0.2000000,0.2500000,27174
VOLKSWAGEN,Passat,Sedan,Petrol,Tiptronic,Front,04-May,Left wheel,Black,Yes,VOLKSWAGEN,PASSAT,SEDAN,PETROL,TIPTRONIC,FRONT,4,LEFT WHEEL,BLACK,YES,11764.1629492,14387.1422878,14159.5858168,17162.3155529,25387.1017835,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,-,2012,2.5,109000 km,5.0000000,12,0,2012,2.5000000,0,109000,5.0000000,12,0.0000000,0.9012346,0.1250000,0.0000508,0.2666667,0.7500000,17240
CHEVROLET,Orlando,Jeep,Diesel,Automatic,Front,04-May,Left wheel,Grey,Yes,CHEVROLET,ORLANDO,JEEP,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,YES,15631.2040472,20611.3252791,23520.2505712,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,18478.9556784,642,2012,2,129760 km,4.0000000,4,642,2012,2.0000000,0,129760,4.0000000,4,0.0548062,0.9012346,0.1000000,0.0000604,0.2000000,0.2500000,22649
TOYOTA,Prius,Sedan,Hybrid,Variator,Front,04-May,Left wheel,Black,Yes,TOYOTA,PRIUS,SEDAN,HYBRID,VARIATOR,FRONT,4,LEFT WHEEL,BLACK,YES,14378.2583811,11460.6154719,14159.5858168,10903.2491977,15129.3860444,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,761,2010,1.8,312000 km,4.0000000,8,761,2010,1.8000000,0,312000,4.0000000,8,0.0649650,0.8765432,0.0900000,0.0001453,0.2000000,0.5000000,14113
CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Black,No,CHEVROLET,CRUZE,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,NO,15631.2040472,11885.9585091,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,23533.4518021,738,2017,1.4 Turbo,46800 km,4.0000000,6,738,2017,1.4000000,1,46800,4.0000000,6,0.0630015,0.9629630,0.0700000,0.0000218,0.2000000,0.3750000,22894
MERCEDES-BENZ,ML 270,Jeep,Diesel,Tiptronic,4x4,04-May,Left wheel,Silver,No,MERCEDES-BENZ,ML 270,JEEP,DIESEL,TIPTRONIC,4X4,4,LEFT WHEEL,SILVER,NO,18318.5683697,18202.7348217,23520.2505712,36298.9310787,25387.1017835,18911.5534039,17089.9312887,20737.4846683,15333.5653059,23533.4518021,-,2000,2.7 Turbo,335000 km,5.0000000,4,0,2000,2.7000000,1,335000,5.0000000,4,0.0000000,0.7530864,0.1350000,0.0001560,0.2666667,0.2500000,11290
CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Grey,Yes,CHEVROLET,CRUZE,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,YES,15631.2040472,11885.9585091,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,18478.9556784,781,2018,1.4,41822 km,4.0000000,12,781,2018,1.4000000,0,41822,4.0000000,12,0.0666724,0.9753086,0.0700000,0.0000195,0.2000000,0.7500000,4704
CHEVROLET,Captiva,Jeep,Diesel,Automatic,Front,04-May,Left wheel,Silver,Yes,CHEVROLET,CAPTIVA,JEEP,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,15631.2040472,18327.8893718,23520.2505712,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,891,2016,2,54472 km,4.0000000,4,891,2016,2.0000000,0,54472,4.0000000,4,0.0760628,0.9506173,0.1000000,0.0000254,0.2000000,0.2500000,38445
LEXUS,LX 470,Jeep,Petrol,Automatic,4x4,04-May,Left wheel,Black,Yes,LEXUS,LX 470,JEEP,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,BLACK,YES,19295.3661710,19851.7817860,23520.2505712,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,18086.8626653,18478.9556784,-,1998,4.7,404800 km,8.0000000,2,0,1998,4.7000000,0,404800,8.0000000,2,0.0000000,0.7283951,0.2350000,0.0001885,0.4666667,0.1250000,19757
VAZ,2107,Sedan,Petrol,Manual,4x4,02-Mar,Left wheel,White,No,VAZ,2107,SEDAN,PETROL,MANUAL,4X4,2,LEFT WHEEL,WHITE,NO,10040.0939287,19851.7817860,14159.5858168,17162.3155529,39404.6623373,18911.5534039,85611.0594215,20737.4846683,18498.8401849,23533.4518021,-,1999,1.6,10000 km,9.0000000,6,0,1999,1.6000000,0,10000,9.0000000,6,0.0000000,0.7407407,0.0800000,0.0000047,0.5333333,0.3750000,2800
FORD,Focus,Sedan,Petrol,Automatic,4x4,04-May,Left wheel,Silver,No,FORD,FOCUS,SEDAN,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,NO,16689.1262008,13926.1420388,14159.5858168,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,23533.4518021,639,2014,2,8640 km,4.0000000,4,639,2014,2.0000000,0,8640,4.0000000,4,0.0545501,0.9259259,0.1000000,0.0000040,0.2000000,0.2500000,13799
MERCEDES-BENZ,CLK 200 Kompressor,Coupe,Petrol,Manual,Rear,02-Mar,Left wheel,Silver,Yes,MERCEDES-BENZ,CLK 200 KOMPRESSOR,COUPE,PETROL,MANUAL,REAR,2,LEFT WHEEL,SILVER,YES,18318.5683697,18602.9834419,21840.5164177,17162.3155529,39404.6623373,17448.8573494,85611.0594215,20737.4846683,15333.5653059,18478.9556784,-,2000,2,189622 km,4.0000000,4,0,2000,2.0000000,0,189622,4.0000000,4,0.0000000,0.7530864,0.1000000,0.0000883,0.2000000,0.2500000,8938
TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Black,Yes,TOYOTA,CAMRY,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,14378.2583811,12742.1087257,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,934,2015,2.5,210450 km,4.0000000,12,934,2015,2.5000000,0,210450,4.0000000,12,0.0797337,0.9382716,0.1250000,0.0000980,0.2000000,0.7500000,470
FORD,Focus,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Silver,No,FORD,FOCUS,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,NO,16689.1262008,13926.1420388,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,23533.4518021,-,2012,2,200000 km,4.0000000,4,0,2012,2.0000000,0,200000,4.0000000,4,0.0000000,0.9012346,0.1000000,0.0000931,0.2000000,0.2500000,15053
MERCEDES-BENZ,C 230,Sedan,Petrol,Tiptronic,Rear,04-May,Left wheel,Silver,Yes,MERCEDES-BENZ,C 230,SEDAN,PETROL,TIPTRONIC,REAR,4,LEFT WHEEL,SILVER,YES,18318.5683697,16436.9892859,14159.5858168,17162.3155529,25387.1017835,17448.8573494,17089.9312887,20737.4846683,15333.5653059,18478.9556784,-,2007,2.5,255000 km,6.0000000,6,0,2007,2.5000000,0,255000,6.0000000,6,0.0000000,0.8395062,0.1250000,0.0001187,0.3333333,0.3750000,18817
FORD,Fusion,Sedan,Hybrid,Automatic,Front,04-May,Left wheel,White,Yes,FORD,FUSION,SEDAN,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,16689.1262008,10644.3226610,14159.5858168,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,640,2013,2,339920 km,4.0000000,0,640,2013,2.0000000,0,339920,4.0000000,0,0.0546355,0.9135802,0.1000000,0.0001583,0.2000000,0.0000000,157
HONDA,Elysion,Minivan,Petrol,Automatic,Front,04-May,Right-hand drive,Black,No,HONDA,ELYSION,MINIVAN,PETROL,AUTOMATIC,FRONT,4,RIGHT-HAND DRIVE,BLACK,NO,14390.6988168,17310.9898811,21139.4158882,17162.3155529,16011.0486705,20599.3767854,17089.9312887,8945.6475385,18086.8626653,23533.4518021,2670,2010,2.4,171000 km,4.0000000,2,2670,2010,2.4000000,0,171000,4.0000000,2,0.2279324,0.8765432,0.1200000,0.0000796,0.2000000,0.1250000,12000
HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Left wheel,Orange,Yes,HYUNDAI,SONATA,SEDAN,LPG,AUTOMATIC,FRONT,4,LEFT WHEEL,ORANGE,YES,21956.5739967,13621.9359885,14159.5858168,13617.4413579,16011.0486705,20599.3767854,17089.9312887,20737.4846683,14132.4263301,18478.9556784,765,2015,2,705856 km,4.0000000,4,765,2015,2.0000000,0,705856,4.0000000,4,0.0653065,0.9382716,0.1000000,0.0003287,0.2000000,0.2500000,9722
